fecha,lluvia,temperatura_minima,temperatura_maxima
2023-01-02,si,7.6,12.8
2023-01-03,no,4.5,12.9
2023-01-04,no,2.1,14.4
2023-01-05,no,2.5,14.0
2023-01-07,si,1.8,8.2
2023-01-09,no,4.6,13.4
2023-01-10,si,2.2,12.9
2023-01-11,si,4.8,11.0
2023-01-12,no,1.6,12.2
2023-01-13,no,3.2,12.2
2023-01-14,no,0.8,12.0
2023-01-16,si,1.7,10.4
2023-01-17,no,2.2,10.5
2023-01-18,si,2.0,7.4
2023-01-19,si,-0.6,7.8
2023-01-20,no,6.6,13.2
2023-01-21,no,3.3,11.0
2023-01-23,no,-2.5,10.1
2023-01-24,no,-2.1,5.8
2023-01-25,no,-1.5,10.8
2023-01-26,no,-1.0,10.4
2023-01-27,no,-3.2,9.0
2023-01-28,no,-2.6,10.3
2023-01-30,no,-2.2,9.6
2023-01-31,no,-3.0,12.6
2023-02-01,no,0.1,13.4
2023-02-02,no,0.5,14.5
2023-02-03,no,-0.2,18.1
2023-02-04,no,-0.4,17.4
2023-02-06,si,1.6,12.0
2023-02-07,si,0.8,8.0
2023-02-08,no,2.4,10.4
2023-02-09,no,3.3,11.2
2023-02-10,no,1.2,10.1
2023-02-11,no,0.5,11.5
2023-02-13,no,1.3,11.0
2023-02-14,no,4.6,10.6
2023-02-15,no,6.2,13.4
2023-02-16,no,2.7,15.8
2023-02-17,no,1.5,16.3
2023-02-18,no,5.2,15.3
2023-02-20,no,7.8,18.9
2023-02-21,no,8.0,18.0
2023-02-22,no,5.7,16.7
2023-02-23,si,2.0,9.8
2023-02-24,no,-1.5,10.7
2023-02-25,no,-1.0,10.0
2023-02-27,no,-1.8,7.8
2023-02-28,no,-3.8,10.4
2023-03-01,no,-4.0,7.7
2023-03-02,no,-2.5,11.6
2023-03-03,no,-1.0,14.0
2023-03-04,no,0.2,13.2
2023-03-06,si,4.4,13.4
2023-03-07,si,7.5,15.2
2023-03-08,si,9.6,16.9
2023-03-09,si,10.5,18.0
2023-03-10,no,7.6,19.2
2023-03-11,no,8.4,20.8
2023-03-13,no,9.4,20.5
2023-03-14,no,6.4,17.9
2023-03-15,no,5.5,20.5
2023-03-16,no,7.2,23.0
2023-03-17,no,10.7,17.0
2023-03-18,si,5.3,16.0
2023-03-20,no,6.0,20.5
2023-03-21,no,6.8,21.4
2023-03-22,no,8.0,22.0
2023-03-23,no,6.5,21.8
2023-03-24,no,9.6,19.0
2023-03-25,no,6.5,21.0
2023-03-27,no,6.5,21.0
2023-03-28,no,7.2,23.6
2023-03-29,no,9.6,26.0
2023-03-30,no,10.2,22.2
2023-03-31,no,10.0,20.9
2023-04-01,no,9.0,19.9
2023-04-03,no,4.0,20.0
2023-04-04,no,7.0,20.7
2023-04-05,no,4.2,22.1
2023-04-08,no,8.8,26.0
2023-04-10,no,13.2,27.4
2023-04-11,no,10.8,26.4
2023-04-12,si,9.4,19.9
2023-04-13,no,6.5,17.0
2023-04-14,no,7.0,20.0
2023-04-15,no,9.7,23.7
2023-04-17,no,9.3,25.5
2023-04-18,no,9.5,23.2
2023-04-19,no,10.3,24.6
2023-04-20,no,10.6,27.4
2023-04-21,si,11.0,25.6
2023-04-22,si,11.2,21.0
2023-04-24,no,11.2,25.8
2023-04-25,no,13.0,28.6
2023-04-26,no,14.2,29.6
2023-04-27,no,15.8,31.4
2023-04-28,no,18.5,31.8
2023-04-29,si,16.8,26.5
2023-05-02,no,12.9,28.1
2023-05-03,no,15.6,30.6
2023-05-04,no,13.7,25.2
2023-05-05,no,11.7,26.9
2023-05-06,no,13.0,27.8
2023-05-08,no,14.3,29.2
2023-05-09,no,17.4,27.2
2023-05-10,no,12.6,25.6
2023-05-11,no,10.0,22.8
2023-05-12,no,9.0,17.8
2023-05-13,no,6.6,21.0
2023-05-15,no,8.7,22.1
2023-05-16,no,8.5,23.6
2023-05-17,no,8.7,23.5
2023-05-18,no,9.5,22.6
2023-05-19,no,9.7,21.4
2023-05-20,no,7.6,21.4
2023-05-22,si,14.1,24.2
2023-05-23,si,13.4,25.2
2023-05-24,si,13.6,24.6
2023-05-25,si,13.6,24.8
2023-05-26,si,12.0,18.5
2023-05-27,si,13.0,21.7
2023-05-29,si,12.2,23.0
2023-05-30,si,12.5,23.1
2023-05-31,no,11.7,24.2
2023-06-01,desconocido,0.0,0.0
2023-06-02,desconocido,0.0,0.0
2023-06-03,desconocido,0.0,0.0
2023-06-05,desconocido,0.0,0.0
2023-06-06,desconocido,0.0,0.0
2023-06-07,desconocido,0.0,0.0
2023-06-08,desconocido,0.0,0.0
2023-06-09,desconocido,0.0,0.0
2023-06-10,desconocido,0.0,0.0
2023-06-12,desconocido,0.0,0.0
2023-06-13,desconocido,0.0,0.0
2023-06-14,desconocido,0.0,0.0
2023-06-15,desconocido,0.0,0.0
2023-06-16,desconocido,0.0,0.0
2023-06-17,desconocido,0.0,0.0
2023-06-19,desconocido,0.0,0.0
2023-06-20,desconocido,0.0,0.0
2023-06-21,desconocido,0.0,0.0
2023-06-22,desconocido,0.0,0.0
2023-06-23,desconocido,0.0,0.0
2023-06-24,desconocido,0.0,0.0
2023-06-26,desconocido,0.0,0.0
2023-06-27,desconocido,0.0,0.0
2023-06-28,desconocido,0.0,0.0
2023-06-29,desconocido,0.0,0.0
2023-06-30,desconocido,0.0,0.0
