producto,formato,precio
Lechuga iceberg,Pieza 1 ud.,"1,15 €"
Ensalada mezcla 4 estaciones,Paquete 250 g,"0,72 €"
Lechugas corazón romana,Paquete 2 ud.,"1,53 €"
Ensalada mezcla brotes tiernos,Paquete 100 g,"1,15 €"
Canónigos base para ensalada,Paquete 125 g,"1,14 €"
Lechuga iceberg base para ensalada,Paquete 250 g,"0,86 €"
Ensalada mezcla gourmet,Paquete 175 g,"1,02 €"
Cogollos de lechuga,Paquete 3 ud.,"1,06 €"
Lechuga corazón romana,Paquete 1 ud.,"1,15 €"
Endibias,Bandeja 450 g,"1,55 €"
Ensalada mezcla brotes tiernos maxi,Paquete 175 g,"1,59 €"
Ensalada mezcla gourmet maxi,Paquete 300 g,"1,66 €"
Ensalada mezcla tierna,Paquete 150 g,"1,20 €"
Rúcula base para ensalada,Paquete 50 g,"0,72 €"
Cogollos corazón de lechuga,Paquete 6 ud.,"1,88 €"
Ensalada mezcla primavera,Paquete 200 g,"0,96 €"
Ensalada mezcla dúo canónigos y rúcula,Paquete 100 g,"1,30 €"
Ensalada mezcla fresca,Paquete 200 g,"1,11 €"
Lechuga hoja roble,Paquete 1 ud.,"1,30 €"
Escarola rizada base para ensalada,Paquete 150 g,"1,20 €"
Escarola rizada,Paquete 1 ud.,"1,54 €"
Espinaca baby base para ensalada,Paquete 100 g,"1,11 €"
Lechuga romana cortada,Paquete 200 g,"1,15 €"
Ensalada César,Bol 210 g,"2,29 €"
Ensalada California,Bol 192 g,"2,29 €"
Wraps Texas,Bol 300 g,"2,99 €"
Ensalada de la casa,Bol 400 g,"1,91 €"
Ensalada mil islas,Bol 330 g,"2,55 €"
Ensalada ensatún,Bol 250 g,"2,49 €"
Ensalada jamón,Bol 215 g,"2,49 €"
Ensalada de pasta,Bol 250 g,"2,49 €"
Ensalada queso de cabra,Bol 135 g,"2,79 €"
Ensalada de pasta Listo para Comer,Bol 340 g,"4,00 €"
